Fuel_consumption,Engine_speed,Engine_coolant_temperature,Current_Gear,transmition_oil_temperature,Vehicle_speed,Acceleration_speed_-_Longitudinal,Indication_of_brake_switch_ON/OFF,Indication_of_brake_switch_ON/OFF
268.8,929,95,0,87,0,-8.5,1,1
243.2,726,95,0,87,0,0.1,1,1
217.6,685,95,0,87,0,0.1,1,1
204.8,675,95,0,87,0,0.1,1,1
217.6,716,95,0,87,0,0.1,1,1
243.2,740,95,0,87,0,0,2,2
217.6,682,94,14,87,0,0,2,2
294.4,670,94,14,87,0,0,2,2
332.8,655,94,14,87,0,0,2,2
358.4,648,94,14,87,0,-0.1,2,2
409.6,659,93,14,86,0,-0.2,2,2
435.2,663,93,14,86,0,-0.1,2,2
384,659,93,14,86,0,0,2,2
396.8,668,93,14,86,1,-0.1,2,2
473.6,742,93,14,86,2,-0.1,2,2
473.6,759,93,14,86,3,0,2,2
473.6,761,93,14,86,3,-0.2,2,2
473.6,766,93,14,86,3,-0.1,2,2
473.6,769,93,14,86,4,-0.1,2,2
473.6,768,93,14,86,4,0,2,2
486.4,767,93,14,86,4,0,2,2
473.6,770,92,14,86,3,0,2,2
486.4,768,92,14,86,3,0.1,2,2
473.6,765,92,14,86,1,0.6,2,2
448,724,92,0,86,0,0.3,2,2
384,673,92,0,86,0,0,2,2
307.2,658,91,0,86,0,0,2,2
307.2,658,91,1,86,0,0,2,2
396.8,673,91,1,86,0,0.4,1,1
435.2,726,90,1,86,0,0.3,2,2
460.8,747,90,1,86,2,0.1,2,2
460.8,758,90,1,86,2,0,1,1
448,763,90,1,86,3,0.1,1,1
486.4,796,90,1,86,3,0,1,1
588.8,978,90,1,86,4,0.2,1,1
486.4,891,89,1,86,4,-0.1,1,1
550.4,1029,89,1,86,5,0.3,1,1
422.4,854,88,1,86,4,-0.1,1,1
524.8,975,88,1,86,5,0.2,1,1
512,999,87,1,86,5,0.2,1,1
524.8,1064,87,1,86,5,0,1,1
742.4,1277,87,1,86,6,0.4,1,1
832,1453,87,1,86,8,0.4,1,1
844.8,1643,87,1,86,9,0.4,1,1
627.2,1610,87,1,86,10,0,1,1
409.6,1112,86,1,86,10,-0.1,1,1
960,1666,86,1,86,11,0.4,1,1
1190.4,1786,86,2,86,13,0.7,1,1
1254.4,1692,86,2,86,15,0.7,1,1
896,1717,85,2,86,17,0.2,1,1
627.2,1664,85,2,86,17,-0.1,1,1
460.8,1466,85,2,86,17,-0.4,1,1
921.6,1634,85,2,86,16,0.2,1,1
1753.6,2011,85,2,86,19,1,1,1
1228.8,2072,85,2,87,21,0.4,1,1
537.6,1450,85,3,87,21,-0.2,1,1
512,1306,85,3,87,21,-0.2,1,1
486.4,1262,85,3,87,21,-0.2,1,1
460.8,1206,85,3,87,20,-0.2,1,1
435.2,1138,85,3,87,19,-0.2,1,1
435.2,1080,85,3,87,19,-0.3,1,1
537.6,1169,85,3,87,18,-0.2,1,1
1100.8,1507,85,3,87,18,0.2,1,1
1792,1766,85,3,87,19,0.7,1,1
2073.6,1858,85,3,87,20,1,1,1
2176,1898,85,3,87,21,1.1,1,1
2252.8,1956,85,3,87,22,1.1,1,1
2316.8,2010,85,3,87,23,1.1,1,1
2393.6,2076,85,3,87,25,1.1,1,1
2483.2,2129,85,3,87,26,1.1,1,1
2534.4,2180,85,3,87,28,1.1,1,1
1600,2028,85,3,87,29,0.6,1,1
742.4,1830,85,3,87,28,0,1,1
819.2,1797,85,3,87,27,0.1,1,1
857.6,1776,85,3,87,26,0.1,1,1
1049.6,1824,86,3,87,27,0.3,1,1
1920,2035,86,3,87,28,0.7,1,1
2457.6,2212,86,3,87,30,1,1,1
793.6,1886,86,3,87,30,-0.2,2,2
985.6,1464,86,4,87,27,-0.7,2,2
755.2,1245,86,4,87,23,-0.6,1,1
1536,1803,86,3,87,22,0.6,1,1
2124.8,1965,86,3,87,23,1,1,1
1075.2,1645,86,3,87,23,0.4,1,1
1907.2,1897,86,3,87,23,0.9,1,1
1625.6,1813,86,3,87,23,0.8,1,1
832,1536,86,3,87,21,0.3,1,1
1856,1842,86,3,87,21,0.9,1,1
2227.2,1960,86,3,87,21,1.1,1,1
2355.2,2045,86,3,87,22,1.3,1,1
2380.8,2061,86,3,87,24,1.2,1,1
1651.2,1882,86,3,87,24,0.8,1,1
665.6,1518,86,3,87,23,0.1,1,1
588.8,1334,86,3,87,20,0,1,1
537.6,1157,86,3,87,17,-0.1,2,2
537.6,996,86,3,87,12,-0.8,2,2
665.6,982,87,3,87,8,0.1,1,1
1766.4,1730,87,1,87,8,1.8,1,1
2380.8,2146,87,1,87,12,2.2,1,1
3187.2,2682,87,1,87,16,2.3,1,1
4006.4,3385,87,1,87,21,2.3,1,1
1651.2,2474,87,2,87,23,0.8,1,1
435.2,1450,87,3,88,20,-0.1,1,1
460.8,1159,87,3,88,17,-0.2,2,2
499.2,978,86,3,88,12,-1.5,2,2
524.8,886,86,3,88,6,-0.3,1,1
563.2,958,86,1,88,4,0.5,1,1
755.2,1242,86,1,88,5,1.1,1,1
704,1132,86,1,88,5,0.9,1,1
1152,1536,86,1,88,7,1.6,1,1
563.2,1233,86,1,88,7,0.3,1,1
